CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Groupe,Numero,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Pont,Num,Cote,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e
False,39.0,False,0.0,0.0,0.0,0.0,0.0,False,1,1,False,True,False,1,0.0,0,False,False,True
False,24.0,False,109.0,9.0,25.0,549.0,44.0,True,2,1,True,False,False,5,0.0,1,False,False,True
False,58.0,True,43.0,3576.0,0.0,6715.0,49.0,False,3,1,False,True,False,0,0.0,1,False,False,True
False,33.0,False,0.0,1283.0,371.0,3329.0,193.0,False,3,2,False,True,False,0,0.0,1,False,False,True
False,16.0,False,303.0,70.0,151.0,565.0,2.0,True,4,1,True,False,False,5,1.0,1,False,False,True
False,44.0,False,0.0,483.0,0.0,291.0,0.0,True,5,1,True,False,False,5,0.0,0,False,True,False
False,26.0,False,42.0,1539.0,3.0,0.0,0.0,True,6,1,True,False,False,5,2.0,1,False,False,True
True,28.0,False,0.0,0.0,0.0,0.0,0.0,True,6,2,True,False,False,6,0.0,1,False,False,True
False,35.0,False,0.0,785.0,17.0,216.0,0.0,True,7,1,True,False,False,5,3.0,1,False,False,True
True,14.0,False,0.0,0.0,0.0,0.0,0.0,True,8,1,False,True,False,1,1.0,0,True,False,False
True,34.0,False,0.0,0.0,0.0,0.0,0.0,True,8,2,False,True,False,1,1.0,0,False,False,True
False,45.0,False,39.0,7295.0,589.0,110.0,124.0,True,8,3,False,True,False,1,1.0,0,True,False,False
False,32.0,False,73.0,0.0,1123.0,0.0,113.0,True,9,1,False,False,True,5,1.0,0,False,False,True
False,48.0,False,719.0,1.0,65.0,0.0,24.0,False,10,1,True,False,False,6,1.0,1,False,False,True
False,28.0,False,8.0,974.0,12.0,2.0,7.0,True,11,1,True,False,False,5,2.0,0,False,False,True
False,31.0,False,32.0,0.0,876.0,0.0,0.0,False,12,1,True,False,False,8,,2,False,False,True
False,27.0,False,1286.0,122.0,0.0,0.0,0.0,False,14,1,False,False,True,5,3.0,0,True,False,False
False,24.0,False,0.0,1.0,0.0,0.0,637.0,False,15,1,True,False,False,5,4.0,0,True,False,False
True,45.0,False,0.0,0.0,0.0,0.0,0.0,True,16,1,False,False,True,5,5.0,0,False,False,True
False,0.0,False,0.0,0.0,0.0,0.0,0.0,True,17,1,True,False,False,6,0.0,0,False,False,True
False,14.0,False,412.0,0.0,1.0,0.0,679.0,False,17,2,True,False,False,5,6.0,0,True,False,False
True,1.0,False,0.0,0.0,0.0,0.0,0.0,False,20,1,True,False,False,4,0.0,1,False,False,True
True,49.0,False,0.0,0.0,0.0,0.0,0.0,False,20,2,True,False,False,4,0.0,1,True,False,False
True,29.0,False,0.0,0.0,0.0,0.0,0.0,False,20,3,True,False,False,4,0.0,1,True,False,False
False,10.0,False,0.0,0.0,0.0,0.0,0.0,True,20,4,True,False,False,4,0.0,1,False,False,True
True,1.0,False,0.0,0.0,0.0,0.0,0.0,False,20,5,True,False,False,4,0.0,1,False,True,False
False,7.0,False,0.0,0.0,0.0,0.0,0.0,False,20,6,True,False,False,4,0.0,1,False,False,True
False,21.0,False,980.0,2.0,69.0,0.0,0.0,False,22,1,False,False,True,3,0.0,0,False,False,True
True,62.0,False,0.0,0.0,0.0,0.0,0.0,True,24,1,False,True,False,2,2.0,1,False,False,True
False,15.0,False,0.0,225.0,0.0,998.0,0.0,False,25,1,True,False,False,5,6.0,1,False,False,True
False,34.0,False,22.0,6073.0,0.0,1438.0,328.0,False,26,1,False,True,False,2,0.0,0,True,False,False
False,43.0,False,1125.0,0.0,136.0,48.0,0.0,False,28,1,False,False,True,5,8.0,0,False,False,True
False,32.0,False,0.0,850.0,81.0,437.0,453.0,False,30,1,True,False,False,6,4.0,1,False,False,True
False,47.0,False,214.0,0.0,1411.0,0.0,1229.0,True,31,1,False,False,True,5,9.0,0,False,False,True
False,2.0,False,0.0,0.0,0.0,0.0,0.0,True,31,2,False,False,True,5,9.0,0,False,False,True
False,20.0,False,0.0,0.0,1750.0,990.0,0.0,True,31,3,False,False,True,5,9.0,0,False,False,True
True,28.0,False,0.0,0.0,0.0,0.0,0.0,True,34,1,False,True,False,3,1.0,1,True,False,False
False,23.0,False,784.0,964.0,0.0,951.0,0.0,False,35,1,False,False,True,3,1.0,0,True,False,False
False,15.0,,0.0,492.0,48.0,20.0,401.0,False,36,1,True,False,False,5,8.0,1,True,False,False
False,20.0,False,554.0,195.0,0.0,2606.0,0.0,False,38,1,True,False,False,5,10.0,1,True,False,False
